Ticker,Date,Headline,Link,Sentiment_Score,Sentiment_Label
AAPL,2026-07-08 20:04:28,"Broadcom stock jumps on Apple AI chip deal, while Nvidia's relative stock price drops",https://finance.yahoo.com/video/broadcom-stock-jumps-on-apple-ai-chip-deal-while-nvidias-relative-stock-price-drops-200428968.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 19:59:17,Apple to spend $30 billion on US-made chips from Broadcom,https://finance.yahoo.com/video/apple-spend-30-billion-us-195917285.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 19:55:27,Apple's Memory Strategy Faces China Risk,https://finance.yahoo.com/technology/articles/apples-memory-strategy-faces-china-153339280.html?.tsrc=rss,-0.2732,Negative
AAPL,2026-07-08 19:39:36,Sector Update: Tech Stocks Rise Late Afternoon,https://finance.yahoo.com/markets/stocks/articles/sector-tech-stocks-rise-afternoon-193936783.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 19:31:16,Apple Offered Big iPhone Discounts—Why Sales Still Fell in China,https://finance.yahoo.com/markets/stocks/articles/apple-offered-big-iphone-discounts-193116913.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 19:15:11,Broadcom Vs. Apple: AVGO Just Locked in Apple Through 2031 Which is Why You Should Buy it Over AAPL,https://247wallst.com/investing/2026/07/08/broadcom-vs-apple-avgo-just-locked-in-apple-through-2031-which-is-why-you-should-buy-it-over-aapl/?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 18:49:28,Apple and Intel Corporation (INTC) Chip Deal makes Strategic Sense but Production is Years Away,https://finance.yahoo.com/markets/stocks/articles/apple-intel-corporation-intc-chip-184928887.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 18:49:00,Apple and Broadcom Shake Up Tech Sector With $30 Billion Deal,https://finance.yahoo.com/m/fbf71dd2-95ce-395b-8ea3-f2f3e8e9c967/apple-and-broadcom-shake-up.html?.tsrc=rss,-0.1779,Negative
AAPL,2026-07-08 18:15:34,Broadcom Spikes 5% on Expanded Apple Chip Deal; Intel and AMD Drift Lower,https://247wallst.com/investing/2026/07/08/broadcom-spikes-5-on-expanded-apple-chip-deal-intel-and-amd-drift-lower/?.tsrc=rss,-0.296,Negative
AAPL,2026-07-08 18:00:31,Broadcom Stock Jumps on New $30 Billion Deal to Supply Chips to Apple,https://www.investopedia.com/broadcom-stock-jumps-on-new-usd30-billion-deal-to-supply-chips-to-apple-avgo-aapl-12014008?.tsrc=rss,0.0,Neutral
MSFT,2026-07-09 05:33:49,The Case For Buying Smaller Dividends That Grow Faster,https://247wallst.com/personal-finance/2026/07/09/the-case-for-buying-smaller-dividends-that-grow-faster/?.tsrc=rss,0.0,Neutral
MSFT,2026-07-09 01:14:34,Commvault (CVLT) Stock Has Cheap Cash Flow But Expensive Earnings,https://finance.yahoo.com/markets/stocks/articles/commvault-cvlt-stock-cheap-cash-011434630.html?.tsrc=rss,0.0,Neutral
MSFT,2026-07-09 00:01:08,"Trump Announced His AI Action Plan Declaring  ‘America Is Going to Win’ — The Same Day He Bought Millions in Nvidia, Apple and Microsoft",https://finance.yahoo.com/technology/ai/articles/trump-announced-ai-action-plan-000108213.html?.tsrc=rss,0.0,Neutral
MSFT,2026-07-08 22:20:00,SK Hynix hits Nasdaq July 10. SKUU and SKDD are expected to launch on July 13.,https://finance.yahoo.com/markets/stocks/articles/sk-hynix-hits-nasdaq-july-222000695.html?.tsrc=rss,0.0,Neutral
MSFT,2026-07-08 21:45:02,Microsoft (MSFT) Dips More Than Broader Market: What You Should Know,https://finance.yahoo.com/markets/stocks/articles/microsoft-msft-dips-more-broader-214502731.html?.tsrc=rss,0.0,Neutral
MSFT,2026-07-08 21:20:00,"Best Stocks to Buy Now in July: CEG for Value, Growth, and 70% Upside",https://finance.yahoo.com/markets/stocks/articles/best-stocks-buy-now-july-212000473.html?.tsrc=rss,0.8481,Positive
